ET,Parcela_ID,Temp_C,precipitation,relative_humidity_2m_above_ground,wind,Fecha actual
,16536,2.0,,80.0,12.0,27-05-2021
,16736,3.0,,80.0,12.0,27-05-2021
,16735,3.0,,80.0,12.0,27-05-2021
,16734,2.0,,80.0,12.0,27-05-2021
,16733,4.0,,80.0,12.0,27-05-2021
,17520,,,81.0,6.0,27-05-2021
,17519,1.0,,81.0,6.0,27-05-2021
,17518,2.0,,79.0,7.0,27-05-2021
,17517,3.0,,79.0,7.0,27-05-2021
,17714,-13.0,,79.0,7.0,27-05-2021
,17711,0.0,,79.0,7.0,27-05-2021
,17709,2.0,,79.0,7.0,27-05-2021
,17707,1.0,,79.0,8.0,27-05-2021
,17903,,,79.0,7.0,27-05-2021
,17902,-1.0,,79.0,7.0,27-05-2021
,17901,-1.0,,79.0,7.0,27-05-2021
,17900,,,79.0,7.0,27-05-2021
,17899,1.0,,79.0,7.0,27-05-2021
,17898,2.0,,79.0,7.0,27-05-2021
,17897,2.0,,79.0,8.0,27-05-2021
,17896,2.0,,79.0,8.0,27-05-2021
,18101,4.0,,81.0,6.0,27-05-2021
,17894,,,79.0,8.0,27-05-2021
,18099,0.0,,79.0,7.0,27-05-2021
,18097,0.0,,79.0,7.0,27-05-2021
,18093,3.0,,79.0,7.0,27-05-2021
,18091,6.0,,79.0,8.0,27-05-2021
,18089,2.0,,79.0,8.0,27-05-2021
,18302,4.0,,81.0,6.0,27-05-2021
,18299,0.0,,79.0,7.0,27-05-2021
,18298,,,79.0,7.0,27-05-2021
,18297,2.0,,79.0,7.0,27-05-2021
,18296,3.0,,79.0,7.0,27-05-2021
,18295,4.0,,79.0,7.0,27-05-2021
,18294,4.0,,79.0,7.0,27-05-2021
,18293,4.0,,79.0,7.0,27-05-2021
,18292,,,79.0,8.0,27-05-2021
,18493,4.0,,81.0,6.0,27-05-2021
,18290,5.0,,79.0,8.0,27-05-2021
,18289,6.0,,79.0,8.0,27-05-2021
,18491,,,79.0,7.0,27-05-2021
